start_second,duration,coverage_count,programs,match_url,transcript
1034,1,2,"CNNW_20161020_023000_Debate_Night_in_America, MSNBCW_20161020_090000_First_Look",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1034/end/1035,
1035,1,1,MSNBCW_20161020_090000_First_Look,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1035/end/1036,"WOMEN WHO OBTAIN ADORESS I COULD"
1060,14,1,FOXNEWSW_20161020_210000_The_Five,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1060/end/1074,"ABORTIONS. WHY? >> BECAUSE, ROE V. WADE VERY CLEARLY SETS OUT THAT THERE CAN BE REGULATIONS ON ABORTION SO LONG AS THE LIFE AND THE HEALTH OF THE MOTHER ARE TAKEN INTO ACCOUNT."
1075,8,2,"MSNBCW_20161020_100000_Morning_Joe, MSNBCW_20161020_090000_First_Look",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1075/end/1083,"AND WHEN I VOTED, AS A SENATOR I DID NOT THINK THAT THAT WAS THE CASE. THE KINDS OF CASES THAT FELL AT THE END OF PREGNANCY ARE OFTEN"
1083,1,1,MSNBCW_20161020_100000_Morning_Joe,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1083/end/1084,
1087,14,1,BLOOMBERG_20161020_230000_Charlie_Rose,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1087/end/1101,"DECISIONS FOR FAMILIES TO MAKE. I HAVE MET WITH WOMEN WHO TOWARD THE END OF THEIR PREGNANCY GET THE WORST NEWS ONE COULD GET THAT THEIR HEALTH IS IN JEOPARDY IF THEY CONTINUE TO CARRY TO TERM. OR THAT SOMETHING TERRIBLE HAS"
1101,1,5,"FOXNEWSW_20161020_210000_The_Five, FOXNEWSW_20161020_220000_Special_Report_With_Bret_Baier, BLOOMBERG_20161020_230000_Charlie_Rose, MSNBCW_20161021_000000_All_In_With_Chris_Hayes, CNBC_20161020_090000_Worldwide_Exchange",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1101/end/1102,"OR THAT SOMETHING TERRIBLE HAS HAPPENED OR JUST BEEN DISCOVERED"
1102,2,8,"MSNBCW_20161020_100000_Morning_Joe, FOXNEWSW_20161021_000000_The_OReilly_Factor, FOXNEWSW_20161020_210000_The_Five, MSNBCW_20161020_090000_First_Look, FOXNEWSW_20161020_220000_Special_Report_With_Bret_Baier, BLOOMBERG_20161020_230000_Charlie_Rose, MSNBCW_20161021_000000_All_In_With_Chris_Hayes, CNBC_20161020_090000_Worldwide_Exchange",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1102/end/1104,"HAPPENED OR JUST BEEN DISCOVERED"
1104,2,7,"MSNBCW_20161020_100000_Morning_Joe, FOXNEWSW_20161021_000000_The_OReilly_Factor, FOXNEWSW_20161020_210000_The_Five, MSNBCW_20161020_090000_First_Look, FOXNEWSW_20161020_220000_Special_Report_With_Bret_Baier, BLOOMBERG_20161020_230000_Charlie_Rose, MSNBCW_20161021_000000_All_In_With_Chris_Hayes",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1104/end/1106,"ABOUT THE PREGNANCY. I DO NOT THINK UNITED STATES"
1106,1,5,"FOXNEWSW_20161021_000000_The_OReilly_Factor, FOXNEWSW_20161020_210000_The_Five, MSNBCW_20161020_090000_First_Look, BLOOMBERG_20161020_230000_Charlie_Rose, MSNBCW_20161021_000000_All_In_With_Chris_Hayes",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1106/end/1107,"I DO NOT THINK UNITED STATES"
1107,1,2,"FOXNEWSW_20161021_000000_The_OReilly_Factor, MSNBCW_20161020_090000_First_Look",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1107/end/1108,"GOVERNMENT SHOULD BE STEPPING IN"
1108,11,1,FOXNEWSW_20161021_000000_The_OReilly_Factor,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1108/end/1119,"GOVERNMENT SHOULD BE STEPPING IN AND MAKING THOSE MOST PERSONAL OF DECISIONS. SO, YOU CAN REGULATE, IF YOU ARE DOING SO WITH THE LIFE AND THE HEALTH OF THE MOTHER TAKEN INTO"
1119,1,3,"MSNBCW_20161020_100000_Morning_Joe, FOXNEWSW_20161021_000000_The_OReilly_Factor, FOXNEWSW_20161020_010000_Presidential_Candidates_Debate",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1119/end/1120,"HEALTH OF THE MOTHER TAKEN INTO ACCOUNT. >> MR. TRUMP, YOUR REACTION,"
1120,2,5,"MSNBCW_20161020_100000_Morning_Joe, FOXNEWSW_20161021_000000_The_OReilly_Factor, FOXNEWSW_20161020_010000_Presidential_Candidates_Debate, MSNBCW_20161020_090000_First_Look, BLOOMBERG_20161020_230000_Charlie_Rose",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1120/end/1122,"ACCOUNT. >> MR. TRUMP, YOUR REACTION, PARTICULARLY ON THIS ISSUE OF"
1122,2,7,"MSNBCW_20161020_100000_Morning_Joe, FOXNEWSW_20161021_000000_The_OReilly_Factor, FOXNEWSW_20161020_010000_Presidential_Candidates_Debate, CNNW_20161020_170000_Wolf, FOXNEWSW_20161020_060000_Presidential_Candidates_Debate, MSNBCW_20161020_090000_First_Look, BLOOMBERG_20161020_230000_Charlie_Rose",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1122/end/1124,"PARTICULARLY ON THIS ISSUE OF LATE-TERM PER SHALL BIRTH --"
1124,1,8,"CNNW_20161021_000000_Anderson_Cooper_360, MSNBCW_20161020_100000_Morning_Joe, FOXNEWSW_20161021_000000_The_OReilly_Factor, FOXNEWSW_20161020_010000_Presidential_Candidates_Debate, CNNW_20161020_170000_Wolf, FOXNEWSW_20161020_060000_Presidential_Candidates_Debate, MSNBCW_20161020_090000_First_Look, BLOOMBERG_20161020_230000_Charlie_Rose",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1124/end/1125,"LATE-TERM PER SHALL BIRTH -- >> I THINK IT'S TERRIBLE IF YOU"
1125,2,9,"CNNW_20161021_000000_Anderson_Cooper_360, CNNW_20161020_130000_CNN_Newsroom_With_Carol_Costello, MSNBCW_20161020_100000_Morning_Joe, FOXNEWSW_20161021_000000_The_OReilly_Factor, FOXNEWSW_20161020_010000_Presidential_Candidates_Debate, CNNW_20161020_170000_Wolf, FOXNEWSW_20161020_060000_Presidential_Candidates_Debate, MSNBCW_20161020_090000_First_Look, BLOOMBERG_20161020_230000_Charlie_Rose",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1125/end/1127,">> I THINK IT'S TERRIBLE IF YOU GO WITH WHAT HILLARY IS SAYING"
1127,2,10,"CNNW_20161021_000000_Anderson_Cooper_360, CNNW_20161020_130000_CNN_Newsroom_With_Carol_Costello, MSNBCW_20161020_100000_Morning_Joe, FOXNEWSW_20161021_000000_The_OReilly_Factor, FOXNEWSW_20161020_010000_Presidential_Candidates_Debate, CNNW_20161020_170000_Wolf, FOXNEWSW_20161020_060000_Presidential_Candidates_Debate, MSNBCW_20161020_090000_First_Look, BLOOMBERG_20161020_230000_Charlie_Rose, MSNBCW_20161021_020000_The_Last_Word_With_Lawrence_ODonnell",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1127/end/1129,"IN THE 9th MONTH YOU CAN TAKE"
1129,2,11,"CNNW_20161021_000000_Anderson_Cooper_360, CNNW_20161020_130000_CNN_Newsroom_With_Carol_Costello, MSNBCW_20161020_100000_Morning_Joe, FOXNEWSW_20161021_000000_The_OReilly_Factor, FOXNEWSW_20161020_010000_Presidential_Candidates_Debate, CNNW_20161020_170000_Wolf, MSNBCW_20161020_050000_MSNBC_Live_Post_Debate, FOXNEWSW_20161020_060000_Presidential_Candidates_Debate, MSNBCW_20161020_090000_First_Look, BLOOMBERG_20161020_230000_Charlie_Rose, MSNBCW_20161021_020000_The_Last_Word_With_Lawrence_ODonnell",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1129/end/1131,"THE BABY AND RIP THE BABY OUT OF"
